ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
610,,protector diario alive,0.94,0.71,Toallas Asanitarias
152,,toallas alive morada claro,0.87,0.74,Toallas Asanitarias
153,,toallas alive nocturna extra,1.03,0.90,Toallas Asanitarias
317,,toallas alive rosada,0.75,0.62,Toallas Asanitarias
159,,toallas humedas Baby finger,1.07,0.85,Toallas Asanitarias
630,,biscocho,1.10,0.57,Tortas
626,,barra silicon fina,0.40,0.23,Utiles Escolares
627,,barra silicon gruesa,0.70,0.52,Utiles Escolares
618,,borra pointer unidad,0.25,0.15,Utiles Escolares
617,,fichas pequeña,0.06,0.03,Utiles Escolares
647,,lapicero,0.23,0.11,Utiles Escolares
624,,lapiz mongol unidad,0.45,0.26,Utiles Escolares
621,,lapiz pointer hb,0.33,0.16,Utiles Escolares
619,,marcador turmax,0.52,0.30,Utiles Escolares
616,,papel bond,0.16,0.10,Utiles Escolares
625,,pega blanca 60ml unidad,0.70,0.32,Utiles Escolares
775,,pintura al frio,0.77,0.55,Utiles Escolares
628,,sacapunta metal,0.22,0.12,Utiles Escolares
906,,Vinagre Kepa 1 L,1.87,1.60,Vinagre
521,,Vinagre kepa 500ml,1.00,0.63,Vinagre
931,,yogurt 330 cc,1.62,1.30,Yogurt
835,,yogurt kids,1.58,1.30,Yogurt
