ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
880,,crema de leche di fiore 170 gr,1.77,1.33,Cereales
881,,fororo valle hondo 250 gr,0.73,0.56,Cereales
39,,fororo valle hondo 400 gr,1.00,0.75,Cereales
38,,maizena 120g,1.15,0.76,Cereales
712,,maizena 200 g,1.66,1.41,Cereales
37,,maizena 90g,0.96,0.75,Cereales
632,,maizoritos azucarados,3.13,2.75,Cereales
40,,maizoritos blanco,3.04,2.65,Cereales
734,,maizoritos fruty aros,3.25,2.83,Cereales
963,,Crema de leche Guaralac 250 gr,2.17,1.90,Charcuteria
980,,Jamon de espalda Alimex,10.50,8.48,Charcuteria
898,,Mortadela Alpro 400 gr,1.47,1.03,Charcuteria
987,,Pechuga De Pavo 400 gr,2.82,2.45,Charcuteria
928,,Salchicha Alimex 11 unid,1.90,1.60,Charcuteria
899,,Suero Nicanor,1.07,0.90,Charcuteria
979,,Tocineta Ahumada,18.00,15.23,Charcuteria
882,,boloña alpro pollo grande,6.00,3.73,Charcuteria
241,,chorizo don eustoquio,11.00,7.50,Charcuteria
242,,crema de leche don eustoquio,3.60,2.80,Charcuteria
889,,crema de leche el morocho,2.50,1.90,Charcuteria
162,,crema de leche guaralat G,3.60,3.00,Charcuteria
174,,don ramon 400g,1.42,1.05,Charcuteria
173,,don ramon 900g,2.87,2.40,Charcuteria
261,,jamon milleniun 1.5 kg,10.00,9.30,Charcuteria
177,,jamon orsatoni,8.20,6.20,Charcuteria
485,,jamon orsatoni grande,9.00,6.16,Charcuteria
182,,jamon superior puro lomo 400 gr,3.32,2.83,Charcuteria
240,,masa lista grande,1.70,1.38,Charcuteria
914,,mortadela alibal 1 kilo,3.40,2.97,Charcuteria
217,,mortadela alibal 500 gr,2.00,1.66,Charcuteria
175,,mortadela caracas 500g,2.05,1.65,Charcuteria
262,,mortadela caracas 900 gr,3.05,2.75,Charcuteria
688,,mortadela la patrona pequeña,1.30,1.00,Charcuteria
268,,mortadela punta de m 500 gr,2.60,2.23,Charcuteria
768,,mortadela punta de monte 1 kilo,4.85,4.18,Charcuteria
886,,salchicha alimex 22 uni,3.70,3.14,Charcuteria
180,,salchicha puro lomo,6.70,5.40,Charcuteria
665,,suero guaralac cremoso,2.30,1.90,Charcuteria
161,,suero guaralact,1.40,1.10,Charcuteria
209,,suero san pedro,1.45,1.19,Charcuteria
412,,suero tapara dolceña,2.60,2.08,Charcuteria
909,,Bianchi snacks sabores,0.72,0.52,Chocolate
912,,Chocolate savoy 70 gr,2.68,226.00,Chocolate
523,,bianchi barra,0.52,0.28,Chocolate
749,,chocolate cricri 27 g,1.49,1.18,Chocolate
750,,chocolate galak 30 g,1.49,1.35,Chocolate
386,,chocolate jet,0.50,0.38,Chocolate
502,,nucita 20grs,0.62,0.45,Chocolate
408,,samba,1.00,0.81,Chocolate
405,,savoy,1.49,0.91,Chocolate
543,,troncolate grande 30 gr,0.85,0.54,Chocolate
402,,compota osole,0.74,0.60,Compotas
913,,Aliño san Miguel,2.27,1.93,Condimentos
300,,adobo la comadre,2.00,1.56,Condimentos
151,,aliño preparado sobre,0.28,0.13,Condimentos
169,,cacao,1.77,1.30,Condimentos
18,,cubito maggi,0.24,0.13,Condimentos
19,,laila sobre,0.20,0.10,Condimentos
729,,levadura y polvo de hornear,0.41,24.00,Condimentos
764,,oregano de teta,0.31,0.20,Condimentos
21,,sopa maggi,1.52,1.24,Condimentos
20,,trifogon sobre,0.08,0.05,Condimentos
